UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
1,ALLE_UN01,0,ALLE_UN01_0,DEC,Steam,144,1822,0,76,1594,0,8,1046,0,41000,146.1167392,85,167,42,9.34435,43,9.42275,21,9.5654,20,9.74245,20,9.98775,21,10.32705,33,10.95125,82,20,20,0,82,120,120,120,120,72,24,0,500,0,0,0,0,0
2,ALLE_UN02,0,ALLE_UN02_0,DEC,Steam,144,1844,0,76,1628,0,8,1037,0,41000,146.5609309,85,167,42,9.5366,43,9.61455,21,9.75635,20,9.93235,20,10.1762,21,10.51345,33,11.13385,82,20,20,0,82,120,120,120,120,72,24,0,500,0,0,0,0,0
3,ALLE_UN03,0,ALLE_UN03_0,DEC,Steam,144,2227,0,76,2042,0,8,1516,0,62000,196.225,140,270,70,8.8543,70,8.9288,32,9.0577,33,9.21715,33,9.44505,32,9.7456,54,10.30315,130,30,30,0,130,180,180,180,180,64,36,0,500,0,0,0,0,0
4,ALLE_UN04,0,ALLE_UN04_0,DEC,Steam,144,2227,0,76,2042,0,8,1516,0,62000,212.3868,140,267,70,8.7552,70,8.8226,32,8.93915,32,9.08025,31,9.27405,32,9.53305,53,10.0191,142,30,30,0,142,180,180,180,180,64,36,0,500,0,0,0,0,0
5,ALLE_UN05,0,ALLE_UN05_0,DEC,Steam,144,2227,0,76,2042,0,8,1516,0,62000,266.7183083,140,259,72,8.82385,71,8.88535,29,8.98455,29,9.09385,29,9.2427,29,9.43735,52,9.81415,132,30,30,0,132,180,180,180,180,64,36,0,500,0,0,0,0,0
6,ASHV_CC01,1,ASHV_CT03_1,PEC,Combined-Cycle,72,1249,0,32,1249,0,8,1249,0,5194,427.1711,70,185,35,7.76055,35,7.8442,29,8.0704,29,8.49825,28,9.1875,29,10.2202,37,11.9627,300,50,50,300,0,185,185,185,185,2,4,0,500,1,0,0,0,0
7,ASHV_CC02,1,ASHV_CT04_1,PEC,Combined-Cycle,72,1249,0,32,1249,0,8,1249,0,5194,378.1758,70,185,35,8.80525,35,8.8568,29,8.99625,29,9.26005,28,9.685,29,10.3217,37,11.39605,300,50,50,300,0,185,185,185,185,2,4,0,500,1,0,0,0,0
8,BELE_UN01,0,BELE_UN01_0,DEC,Steam,144,13155,0,76,11895,0,8,8691,0,193000,853.8261696,300,1110,150,8.2529,150,8.253,202,8.25345,203,8.25455,203,8.25665,202,8.26005,222,8.2655,180,30,30,0,180,180,300,180,300,72,48,0,500,0,0,1,0,0
9,BELE_UN02,0,BELE_UN02_0,DEC,Steam,144,13316,0,76,11996,0,8,8616,0,193000,864.7357215,300,1110,150,8.3554,150,8.3555,202,8.35595,203,8.3571,203,8.3593,202,8.36285,222,8.3685,180,30,30,0,180,180,300,180,300,72,48,0,500,0,0,0,0,0
10,BRUN_UN01,0,BRUN_UN01_0,PEC,Nuclear,72,0,0,32,0,0,8,0,0,0,894.44,975,975,125,9.44,125,9.44,181,9.44,181,9.44,182,9.44,181,9.44,195,9.44,0,0,0,0,0,975,975,975,975,120,12,10,0,0,1,0,975,1
